Symbol,Market Cap,P/E Ratio (TTM),P/B Ratio,Industry P/E,Debt to Equity,ROE,EPS (TTM),Dividend Yield,Book Value,Face Value
,,,,,,,,,,
ZENSARTECH,,,,,,,,,,
INNOVACAP,,,,,,,,,,
JKLAKSHMI,,,,,,,,,,
NDRAUTO,,,,,,,,,,
PARAS,,,,,,,,,,
SIYSIL,,,,,,,,,,
DECCANCE,,,,,,,,,,
FACT,,,,,,,,,,
WELCORP,,,,,,,,,,
EMUDHRA,,,,,,,,,,
SUPRIYA,,,,,,,,,,
ANANTRAJ,,,,,,,,,,
AVANTIFEED,,,,,,,,,,
GHCL,,,,,,,,,,
KIMS,,,,,,,,,,
SBICARD,,,,,,,,,,
MARICO,,,,,,,,,,
DATAMATICS,,,,,,,,,,
LIQUIDADD,,,,,,,,,,
LIQUID1,,,,,,,,,,
ABSLLIQUID,,,,,,,,,,
LIQUIDSBI,,,,,,,,,,
NAZARA,,,,,,,,,,
RATEGAIN,,,,,,,,,,
NESCO,,,,,,,,,,
AXISCADES,,,,,,,,,,
ZOTA,,,,,,,,,,
